node_name,x_node_name,tag1,tag2,sched,x_sched,pinning,x_pinning,max_little,max_big,n_little,n_big,strat,sck_v_mean,sck_v_min,sck_v_max,sck_v_std,sck_i_mean,sck_i_min,sck_i_max,sck_i_std,sck_w_mean,sck_w_min,sck_w_max,sck_w_minus,sck_w_plus,sck_w_std,sck_w_idle,sck_j_first,sck_j_last,sck_j_total,rapl_w_mean,rapl_w_min,rapl_w_max,rapl_w_std,rapl_w_idle,thr_mean,thr_min,thr_max,thr_minus,thr_plus,thr_error,thr_std,sck_ene_per_fra,rapl_ene_per_fra
m1u,2,OS_R1_lavd_unknown,m1u_OS_R1_unknown,OS_R1,6,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R2_lavd_unknown,m1u_OS_R2_unknown,OS_R2,7,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R3_lavd_unknown,m1u_OS_R3_unknown,OS_R3,8,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R4_lavd_unknown,m1u_OS_R4_unknown,OS_R4,9,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R5_lavd_unknown,m1u_OS_R5_unknown,OS_R5,10,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R6_lavd_unknown,m1u_OS_R6_unknown,OS_R6,11,lavd,6,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R1_bpfland_unknown,m1u_OS_R1_unknown,OS_R1,6,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R2_bpfland_unknown,m1u_OS_R2_unknown,OS_R2,7,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R3_bpfland_unknown,m1u_OS_R3_unknown,OS_R3,8,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R4_bpfland_unknown,m1u_OS_R4_unknown,OS_R4,9,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R5_bpfland_unknown,m1u_OS_R5_unknown,OS_R5,10,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
m1u,2,OS_R6_bpfland_unknown,m1u_OS_R6_unknown,OS_R6,11,bpfland,7,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0.0,100000,0,-100000.0,0.0,-100000,0,nan,nan
opi5,1,2CATAC_packed_half,opi5_2CATAC_half,2CATAC,1,packed,3,2,2,2,2,half,4.928960148434979,4.887,15.21,0.16830957337591346,1.4075825185543724,1.04,1.6934,0.12017547827322564,6.93649594375605,5.176080000000001,23.032503000000002,1.7604159437560494,16.096007056243952,0.6260041071725672,2.8267257144133295,0.012,inf,inf,0,0,0,0,0,8.2035,8.181,8.238,0.022500000000000853,0.03449999999999953,0.057000000000000384,0.01718041520646896,0.012033913606574768,0.0
opi5,1,2CATAC_packed_full,opi5_2CATAC_full,2CATAC,1,packed,3,4,4,4,4,full,4.895572385150025,4.821,23.07,0.4290772412309527,2.070735175453467,0.7372,2.4712,0.17728964159356836,10.134941422614002,3.6941091999999998,54.502874999999996,6.440832222614002,44.367933577386,1.2510552085315996,2.8267257144133295,0.014,inf,inf,0,0,0,0,0,14.6384,14.448,14.909,0.19040000000000035,0.27059999999999995,0.4610000000000003,0.17157712875296374,0.009853569128227298,0.0
opi5,1,FERTAC_packed_half,opi5_FERTAC_half,FERTAC,2,packed,3,2,2,2,2,half,4.9322984652973965,4.879,14.787,0.1620353929327024,1.3725040085515767,1.0591,1.6695,0.10575825225457011,6.768564730571887,5.2340722,22.854787200000004,1.534492530571887,16.086222469428115,0.5593498803938725,2.8267257144133295,0.011,inf,inf,0,0,0,0,0,7.6019000000000005,7.561,7.651,0.0409000000000006,0.049099999999999255,0.08999999999999986,0.027509392335467245,0.012671860093594901,0.0
opi5,1,FERTAC_packed_full,opi5_FERTAC_full,FERTAC,2,packed,3,4,4,4,4,full,4.920289224206035,4.845,17.947,0.26911667828872676,1.5884511771211882,1.171,2.1013,0.13085907322651663,7.815153302409543,5.787082000000001,32.9829966,2.0280713024095425,25.16784329759046,0.7954129791708154,2.8267257144133295,0.012,inf,inf,0,0,0,0,0,10.4924,10.481,10.508,0.011400000000000077,0.01559999999999917,0.026999999999999247,0.009240009620004352,0.010600554858744674,0.0
opi5,1,HeRAD_packed_half,opi5_HeRAD_half,HeRAD,3,packed,3,2,2,2,2,half,4.927577644985827,4.883,14.542,0.18038510973650132,1.4269910288822494,0.9847,1.8049,0.1130870550621902,7.030382193625987,4.8969131,21.6544922,2.133469093625987,14.624110006374014,0.6017180199566688,2.8267257144133295,0.038,inf,inf,0,0,0,0,0,8.1726,8.154,8.184,0.018599999999999284,0.011400000000000077,0.02999999999999936,0.011852800887928495,0.012242909157389943,0.0
opi5,1,HeRAD_packed_full,opi5_HeRAD_full,HeRAD,3,packed,3,4,4,4,4,full,4.883835229532978,4.796,22.45,0.32929692233875035,2.1566949956241546,0.7417,2.6289,0.22126785918261715,10.529103954857188,3.7062749,51.267837500000006,6.822829054857188,40.73873354514282,1.2695007659262927,2.8267257144133295,0.068,inf,inf,0,0,0,0,0,15.2821,14.962,15.709,0.32010000000000005,0.42689999999999984,0.7469999999999999,0.2385616389018895,0.009805603122969193,0.0
opi5,1,OTAC_big_packed_half,opi5_OTAC_big_half,OTAC_big,4,packed,3,2,2,0,2,half,4.946041952983725,4.876,13.518,0.18823346426934387,1.1717793273056059,0.7256,1.5863,0.1853963656161092,5.792625044607595,3.5869632,18.712967400000004,2.205661844607595,12.920342355392409,0.9310066036755325,2.8267257144133295,0.009,inf,inf,0,0,0,0,0,5.388,5.368,5.399,0.019999999999999574,0.01100000000000012,0.030999999999999694,0.009392668535736856,0.015300786866157257,0.0
opi5,1,OTAC_big_packed_full,opi5_OTAC_big_full,OTAC_big,4,packed,3,4,4,0,4,full,4.917946067764999,4.84,19.416,0.2470161874410934,1.5991536524712464,0.9603,2.246,0.1362339331906787,7.863310317376437,4.794777900000001,38.6028912,3.068532417376437,30.739580882623564,0.7775535571975039,2.8267257144133295,0.012,inf,inf,0,0,0,0,0,9.449700000000002,9.408,9.482,0.04170000000000229,0.03229999999999755,0.07399999999999984,0.021312750487286515,0.011842770927849713,0.0
opi5,1,OTAC_little_packed_half,opi5_OTAC_little_half,OTAC_little,5,packed,3,2,2,2,0,half,4.967394648153141,4.923,8.754,0.07571531051498818,0.7894148557562686,0.4888,1.0839,0.09884024781870787,3.9203789088568346,2.4425336,7.8470856,1.4778453088568346,3.926706691143165,0.48747777430972866,2.8267257144133295,0.006,inf,inf,0,0,0,0,0,2.0776,2.055,2.1,0.02259999999999973,0.022400000000000198,0.04499999999999993,0.015952707885775696,0.02685542579459495,0.0
opi5,1,OTAC_little_packed_full,opi5_OTAC_little_full,OTAC_little,5,packed,3,4,4,4,0,full,4.959713991345559,-0.0,10.529,0.10078106599360952,0.9193630263067518,0.5561,1.1849,0.11142967826717681,4.5587863230235595,-0.0,11.3523678,4.5587863230235595,6.79358147697644,0.5548317507915278,2.8267257144133295,0.008,inf,inf,0,0,0,0,0,3.7054,3.658,3.721,0.04740000000000011,0.015600000000000058,0.06300000000000017,0.01874507342684417,0.017509755208417795,0.0
opi5,1,2CATAC_loose_half,opi5_2CATAC_half,2CATAC,1,loose,1,2,2,2,2,half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8267257144133295,0,0,0,0,0,0,0,0,8.104800000000001,8.036,8.152,0.0688000000000013,0.047199999999998354,0.11599999999999966,0.04536714425416004,0.0,0.0
